Power.Level,Blue.Actinic,Red.Actinic,Blue.Flash,Red.Flash
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,8.048528247,0,0,0
6,21.25095259,13.71084077,0,0
7,34.45337694,29.42398323,0,0
8,47.65580128,45.13712568,0,314.5826
9,60.85822563,60.85026814,0,314.5826
10,74.06064997,76.5634106,1334.1,1639.46
11,87.26307432,92.27655306,3846.451,2956.7666
12,100.4654987,107.9896955,6338.264,4266.5024
13,113.667923,123.702838,8809.539,5568.6674
14,126.8703474,139.4159804,11260.276,6863.2616
15,140.0727717,155.1291229,13690.475,8150.285
16,153.275196,170.8422653,16100.136,9429.7376
17,166.4776204,186.5554078,18489.259,10701.6194
18,179.6800447,202.2685503,20857.844,11965.9304
19,192.8824691,217.9816927,23205.891,13222.6706
20,206.0848934,233.6948352,25533.4,14471.84
21,219.2873178,249.4079776,27840.371,15713.4386
22,232.4897421,265.1211201,30126.804,16947.4664
23,245.6921665,280.8342626,32392.699,18173.9234
24,258.8945908,296.547405,34638.056,19392.8096
25,272.0970151,312.2605475,36862.875,20604.125
26,285.2994395,327.9736899,39067.156,21807.8696
27,298.5018638,343.6868324,41250.899,23004.0434
28,311.7042882,359.3999748,43414.104,24192.6464
29,324.9067125,375.1131173,45556.771,25373.6786
30,338.1091369,390.8262598,47678.9,26547.14
31,351.3115612,406.5394022,49780.491,27713.0306
32,364.5139856,422.2525447,51861.544,28871.3504
33,377.7164099,437.9656871,53922.059,30022.0994
34,390.9188342,453.6788296,55962.036,31165.2776
35,404.1212586,469.391972,57981.475,32300.885
36,417.3236829,485.1051145,59980.376,33428.9216
37,430.5261073,500.818257,61958.739,34549.3874
38,443.7285316,516.5313994,63916.564,35662.2824
39,456.930956,532.2445419,65853.851,36767.6066
40,470.1333803,547.9576843,67770.6,37865.36
41,483.3358047,563.6708268,69666.811,38955.5426
42,496.538229,579.3839692,71542.484,40038.1544
43,509.7406533,595.0971117,73397.619,41113.1954
44,522.9430777,610.8102542,75232.216,42180.6656
45,536.145502,626.5233966,77046.275,43240.565
46,549.3479264,642.2365391,78839.796,44292.8936
47,562.5503507,657.9496815,80612.779,45337.6514
48,575.7527751,673.662824,82365.224,46374.8384
49,588.9551994,689.3759665,84097.131,47404.4546
50,602.1576238,705.0891089,85808.5,48426.5
51,615.3600481,720.8022514,87499.331,49440.9746
52,628.5624725,736.5153938,89169.624,50447.8784
53,641.7648968,752.2285363,90819.379,51447.2114
54,654.9673211,767.9416787,92448.596,52438.9736
55,668.1697455,783.6548212,94057.275,53423.165
56,681.3721698,799.3679637,95645.416,54399.7856
57,694.5745942,815.0811061,97213.019,55368.8354
58,707.7770185,830.7942486,98760.084,56330.3144
59,720.9794429,846.507391,100286.611,57284.2226
60,734.1818672,862.2205335,101792.6,58230.56
61,747.3842916,877.9336759,103278.051,59169.3266
62,760.5867159,893.6468184,104742.964,60100.5224
63,773.7891402,909.3599609,106187.339,61024.1474
64,786.9915646,925.0731033,107611.176,61940.2016
65,800.1939889,940.7862458,109014.475,62848.685
66,813.3964133,956.4993882,110397.236,63749.5976
67,826.5988376,972.2125307,111759.459,64642.9394
68,839.801262,987.9256732,113101.144,65528.7104
69,853.0036863,1003.638816,114422.291,66406.9106
70,866.2061107,1019.351958,115722.9,67277.54
71,879.408535,1035.065101,117002.971,68140.5986
72,892.6109593,1050.778243,118262.504,68996.0864
73,905.8133837,1066.491385,119501.499,69844.0034
74,919.015808,1082.204528,120719.956,70684.3496
75,932.2182324,1097.91767,121917.875,71517.125
76,945.4206567,1113.630813,123095.256,72342.3296
77,958.6230811,1129.343955,124252.099,73159.9634
78,971.8255054,1145.057098,125388.404,73970.0264
79,985.0279298,1160.77024,126504.171,74772.5186
80,998.2303541,1176.483383,127599.4,75567.44
81,1011.432778,1192.196525,128674.091,76354.7906
82,1024.635203,1207.909668,129728.244,77134.5704
83,1037.837627,1223.62281,130761.859,77906.7794
84,1051.040051,1239.335952,131774.936,78671.4176
85,1064.242476,1255.049095,132767.475,79428.485
86,1077.4449,1270.762237,133739.476,80177.9816
87,1090.647325,1286.47538,134690.939,80919.9074
88,1103.849749,1302.188522,135621.864,81654.2624
89,1117.052173,1317.901665,136532.251,82381.0466
90,1130.254598,1333.614807,137422.1,83100.26
91,1143.457022,1349.32795,138291.411,83811.9026
92,1156.659446,1365.041092,139140.184,84515.9744
93,1169.861871,1380.754235,139968.419,85212.4754
94,1183.064295,1396.467377,140776.116,85901.4056
95,1196.266719,1412.18052,141563.275,86582.765
96,1209.469144,1427.893662,142329.896,87256.5536
97,1222.671568,1443.606804,143075.979,87922.7714
98,1235.873992,1459.319947,143801.524,88581.4184
99,1249.076417,1475.033089,144506.531,89232.4946
100,1262.278841,1490.746232,145191,89876
